DATE,IR3TIB01EZM156N
2016/8/1,-0.2982
2016/9/1,-0.3016
2016/10/1,-0.309
2016/11/1,-0.3127
2016/12/1,-0.3158
2017/1/1,-0.3255
2017/2/1,-0.3286
2017/3/1,-0.3293
2017/4/1,-0.3304
2017/5/1,-0.3295
2017/6/1,-0.33
2017/7/1,-0.3304
2017/8/1,-0.3291
2017/9/1,-0.3294
2017/10/1,-0.3295
2017/11/1,-0.329
2017/12/1,-0.3279
2018/1/1,-0.3285
2018/2/1,-0.3285
2018/3/1,-0.3279
2018/4/1,-0.3285
2018/5/1,-0.3252
2018/6/1,-0.322
2018/7/1,-0.3207
2018/8/1,-0.319
2018/9/1,-0.3188
2018/10/1,-0.3177
2018/11/1,-0.3164
2018/12/1,-0.3119
2019/1/1,-0.308
2019/2/1,-0.3084
2019/3/1,-0.3092
2019/4/1,-0.3105
2019/5/1,-0.3119
2019/6/1,-0.3289
2019/7/1,-0.3649
2019/8/1,-0.4077
2019/9/1,-0.4176
2019/10/1,-0.4129
2019/11/1,-0.4013
2019/12/1,-0.3947
2020/1/1,-0.3911
2020/2/1,-0.4088
2020/3/1,-0.4166
2020/4/1,-0.254
2020/5/1,-0.272
2020/6/1,-0.376
2020/7/1,-0.4441
2020/8/1,-0.4797
2020/9/1,-0.4914
2020/10/1,-0.5091
2020/11/1,-0.5209
2020/12/1,-0.5381
2021/1/1,-0.5472
,
Data source: https://fred.stlouisfed.org/series/IR3TIB01EZM156N,
