date,y2 yield,y5 yield,y10 yield,inflation_rate,unemployment_rate,gdp_growth_rate,debt_rate_to_GDP
1979Apr,8.1374,9.4963,9.4963,,,,
1979Mar,7.5484,9.3004,9.3004,,,,
1979Feb,7.3168,9.2384,9.2384,,,,
1979Jan,6.9655,9.1206,9.1206,,,,
1978Dec,6.9753,9.0174,9.0174,,,,
1978Nov,7.0275,8.9718,8.9718,,,,
1978Oct,6.8552,8.8955,8.8955,,,,
1978Sep,6.5798,8.7957,8.7957,,,,
1978Aug,6.5464,8.9511,8.9511,,,,
1978Jul,6.4917,8.9388,8.9388,,,,
1978Jun,6.425,8.642999999999999,8.642999999999999,,,,
1978May,6.3462,8.5758,8.5758,,,,
1978Apr,6.0744,8.497,8.497,,,,
1978Mar,4.226,8.5427,8.5427,,,,
1978Feb,4.2860000000000005,8.543,8.543,,,,
1978Jan,4.426,8.7129,8.7129,,,,
1977Dec,4.676,8.7695,8.7695,,,,
1977Nov,4.776,8.9557,8.9557,,,,
1977Oct,4.7860000000000005,9.0885,9.0885,,,,
1977Sep,4.7860000000000005,9.2499,9.2499,,,,
1977Aug,4.796,9.4679,9.4679,,,,
1977Jul,4.996,9.6101,9.6101,,,,
1977Jun,5.166,9.8115,9.8115,,,,
1977May,5.216,9.8278,9.8278,,,,
1977Apr,5.3660000000000005,9.9408,9.9408,,,,
1977Mar,5.596,10.0178,10.0178,,,,
1977Feb,6.016,10.2319,10.2319,,,,
1977Jan,6.1160000000000005,10.1639,10.1639,,,,
1976Dec,6.236000000000001,10.1754,10.1754,,,,
1976Nov,6.166,10.152999999999999,10.152999999999999,,,,
1976Oct,6.736000000000001,10.3947,10.3947,,,,
1976Sep,6.746,10.0474,10.0474,,,,
1976Aug,6.856,10.0425,10.0425,,,,
1976Jul,6.846,10.1308,10.1308,,,,
1976Jun,6.466,10.364,10.364,,,,
1976May,6.306,9.8391,9.8391,,,,
1976Apr,5.956,9.3098,9.3098,,,,
1976Mar,5.936,8.9244,8.9244,,,,
1976Feb,6.0360000000000005,8.6087,8.6087,,,,
1976Jan,6.5360000000000005,8.665,8.665,,,,
1975Dec,6.816,8.6886,8.6886,,,,
1975Nov,6.8660000000000005,8.693999999999999,8.693999999999999,,,,
1975Oct,6.926,8.8622,8.8622,,,,
1975Sep,6.836,8.8894,8.8894,,,,
1975Aug,6.796,8.7901,8.7901,,,,
1975Jul,6.766,8.7037,8.7037,,,,
1975Jun,6.806,8.7546,8.7546,,,,
1975May,6.696000000000001,8.8442,8.8442,,,,
1975Apr,6.936,9.1103,9.1103,,,,
1975Mar,7.236000000000001,9.2075,9.2075,,,,
1975Feb,7.256,9.2943,9.2943,,,,
1975Jan,7.976,9.6024,9.6024,,,,
1974Dec,8.876,10.3051,10.3051,,,,
1974Nov,9.286,10.4855,10.4855,,,,
1974Oct,9.886000000000001,10.7314,10.7314,,,,
1974Sep,10.076,10.6663,10.6663,,,,
1974Aug,10.016,10.4677,10.4677,,,,
1974Jul,9.896,10.4463,10.4463,,,,
1974Jun,9.936,10.1545,10.1545,,,,
1974May,9.896,9.8215,9.8215,,,,
1974Apr,10.096,9.2477,9.2477,,,,
1974Mar,10.166,9.2384,9.2384,,,,
1974Feb,10.006,8.9585,8.9585,,,,
1974Jan,9.396,8.5449,8.5449,,,,
1973Dec,9.586,8.5807,8.5807,,,,
1973Nov,9.516,8.5435,8.5435,,,,
1973Oct,9.366,8.5093,8.5093,,,,
1973Sep,9.726,8.5645,8.5645,,,,
1973Aug,9.406,8.4964,8.4964,,,,
1973Jul,10.116,8.746,8.746,,,,
1973Jun,9.686,8.5872,8.5872,,,,
1973May,9.316,8.4164,8.4164,,,,
1973Apr,8.686,8.0175,8.0175,,,,
1973Mar,8.006,7.8743,7.8743,,,,
1973Feb,7.5760000000000005,7.7427,7.7427,,,,
1973Jan,7.596,7.8447,7.8447,,,,
1972Dec,7.926,7.8485,7.8485,,,,
1972Nov,7.7860000000000005,7.7389,7.7389,,,,
1972Oct,7.6160000000000005,7.5752,7.5752,,,,
1972Sep,6.666,7.3054,7.3054,,,,
1972Aug,6.896,7.3201,7.3201,,,,
1972Jul,6.956,7.3721,7.3721,,,,
1972Jun,6.846,7.3498,7.3498,,,,
1972May,6.436,7.2018,7.2018,,,,
1972Apr,6.606,7.3042,7.3042,,,,
1972Mar,6.216,7.1074,7.1074,,,,
1972Feb,6.1160000000000005,7.0267,7.0267,,,,
1972Jan,6.396,7.1186,7.1186,,,,
1971Dec,7.096,7.4063,7.4063,,,,
1971Nov,7.376,7.5233,7.5233,,,,
1971Oct,7.476,7.5666,7.5666,,,,
1971Sep,7.596,7.7039,7.7039,,,,
1971Aug,7.676,7.7938,7.7938,,,,
1971Jul,7.8260000000000005,7.879,7.879,,,,
1971Jun,7.916,7.8366,7.8366,,,,
1971May,7.426,7.6337,7.6337,,,,
1971Apr,7.276,7.5427,7.5427,,,,
1971Mar,7.556,7.5198,7.5198,,,,
1971Feb,7.426,7.504,7.504,,,,
1971Jan,7.136,7.5448,7.5448,,,,
1970Dec,7.436,7.9801,7.9801,,,,
1970Nov,7.886,8.3371,8.3371,,,,
1970Oct,8.106,8.4679,8.4679,,,,
1970Sep,8.246,8.389,8.389,,,,
1970Aug,7.966,8.3279,8.3279,,,,
1970Jul,7.836,8.3405,8.3405,,,,
1970Jun,8.556000000000001,8.5485,8.5485,,,,
1970May,8.306000000000001,8.2471,8.2471,,,,
1970Apr,8.016,7.9859,7.9859,,,,
1970Mar,8.216000000000001,7.9798,7.9798,,,,
1970Feb,7.656000000000001,7.5881,7.5881,,,,
1970Jan,7.6160000000000005,7.3705,7.3705,,,,
