date,m6 yield,y5 yield,y10 yield,spy,eur_usd,CPI,GDP,FFER,y,class,dir
2006-07-31,5.18,4.91,4.99,95.03102111816406,1.2820019721984863,4.318766,0.945328048,5.24,1.2791976928710938,40,-1.0
2006-08-01,5.18,4.9,4.99,94.56275177001953,1.2791976928710938,3.818737,0.945328048,5.24,1.2799016237258911,40,1.0
2006-08-02,5.18,4.88,4.96,95.20196533203125,1.2799016237258911,3.818737,0.945328048,5.27,1.2878963947296143,40,1.0
2006-08-03,5.19,4.9,4.96,95.45470428466797,1.2878963947296143,3.818737,0.945328048,5.27,1.2766989469528198,40,-1.0
2006-08-07,5.2,4.86,4.93,95.06818389892578,1.2766989469528198,3.818737,0.945328048,5.27,1.2874983549118042,40,1.0
2006-08-08,5.16,4.85,4.93,94.70398712158203,1.2874983549118042,3.818737,0.945328048,5.27,1.2792959213256836,40,-1.0
2006-08-09,5.15,4.86,4.92,94.38434600830078,1.2792959213256836,3.818737,0.945328048,5.25,1.2725075483322144,40,-1.0
2006-08-10,5.16,4.86,4.93,94.67425537109375,1.2725075483322144,3.818737,0.945328048,5.25,1.2790995836257935,40,1.0
2006-08-14,5.24,4.95,5.0,94.48098754882812,1.2790995836257935,3.818737,0.945328048,5.25,1.2843070030212402,40,1.0
2006-08-15,5.19,4.88,4.93,95.61080169677734,1.2843070030212402,3.818737,0.945328048,5.25,1.283202886581421,40,-1.0
2006-08-16,5.16,4.81,4.87,96.40611267089844,1.283202886581421,3.818737,0.945328048,5.23,1.2828078269958496,40,-1.0
2006-08-17,5.18,4.82,4.87,96.65143585205078,1.2828078269958496,3.818737,0.945328048,5.23,1.2811970710754395,40,-1.0
2006-08-21,5.18,4.77,4.82,96.72576141357422,1.2811970710754395,3.818737,0.945328048,5.23,1.2781022787094116,40,-1.0
2006-08-22,5.17,4.77,4.82,96.71831512451172,1.2781022787094116,3.818737,0.945328048,5.23,1.2761938571929932,40,-1.0
2006-08-23,5.17,4.77,4.82,96.45073699951172,1.2761938571929932,3.818737,0.945328048,5.24,1.2757054567337036,40,-1.0
2006-08-24,5.17,4.78,4.81,96.36895751953125,1.2757054567337036,3.818737,0.945328048,5.24,1.2829065322875977,40,1.0
2006-08-28,5.18,4.77,4.8,96.94874572753906,1.2829065322875977,3.818737,0.945328048,5.24,1.284092664718628,40,1.0
2006-08-29,5.16,4.77,4.79,97.06022644042969,1.284092664718628,3.818737,0.945328048,5.24,1.2809016704559326,40,-1.0
2006-08-30,5.14,4.72,4.76,97.11970520019531,1.2809016704559326,3.818737,0.945328048,5.25,1.2835981845855713,40,1.0
2006-08-31,5.11,4.7,4.74,97.10486602783203,1.2835981845855713,3.818737,0.945328048,5.25,1.2823965549468994,40,-1.0
2006-09-04,5.11,4.7,4.74,97.10486602783203,1.2823965549468994,3.818737,0.945328048,5.25,1.2819033861160278,40,-1.0
2006-09-05,5.13,4.73,4.78,97.87042236328125,1.2819033861160278,3.818737,0.945328048,5.25,1.2732040882110596,40,-1.0
2006-09-06,5.12,4.75,4.8,97.0081787109375,1.2732040882110596,3.818737,0.945328048,5.25,1.2672985792160034,40,-1.0
2006-09-07,5.13,4.74,4.8,96.562255859375,1.2672985792160034,3.818737,0.945328048,5.25,1.2695027589797974,40,1.0
2006-09-11,5.13,4.74,4.8,96.93389129638672,1.2695027589797974,3.818737,0.945328048,5.25,1.2696961164474487,40,1.0
2006-09-12,5.12,4.71,4.78,97.88529968261719,1.2696961164474487,3.818737,0.945328048,5.25,1.2722970247268677,40,1.0
2006-09-13,5.08,4.7,4.77,98.27922821044922,1.2722970247268677,3.818737,0.945328048,5.23,1.2651021480560303,40,-1.0
2006-09-14,5.12,4.74,4.79,98.2866439819336,1.2651021480560303,3.818737,0.945328048,5.23,1.2677003145217896,40,1.0
2006-09-18,5.12,4.77,4.81,98.6517333984375,1.2677003145217896,3.818737,0.945328048,5.23,1.2687939405441284,40,1.0
2006-09-19,5.09,4.69,4.74,98.40535736083984,1.2687939405441284,3.818737,0.945328048,5.23,1.2781022787094116,40,1.0
2006-09-20,5.09,4.7,4.73,98.9279556274414,1.2781022787094116,3.818737,0.945328048,5.24,1.2799999713897705,40,1.0
2006-09-21,5.04,4.6,4.65,98.45018768310547,1.2799999713897705,3.818737,0.945328048,5.24,1.2686975002288818,40,-1.0
2006-09-25,5.01,4.51,4.56,98.90556335449219,1.2686975002288818,3.818737,0.945328048,5.24,1.270599603652954,40,1.0
2006-09-26,5.02,4.55,4.59,99.72679901123047,1.270599603652954,3.818737,0.945328048,5.24,1.2703574895858765,40,-1.0
2006-09-27,5.01,4.56,4.6,99.84629821777344,1.2703574895858765,3.818737,0.945328048,5.27,1.2662074565887451,40,-1.0
2006-09-28,5.01,4.57,4.63,99.80892944335938,1.2662074565887451,3.818737,0.945328048,5.27,1.2734960317611694,40,1.0
2006-10-02,5.02,4.56,4.62,99.35352325439453,1.2734960317611694,3.818737,0.945328048,5.27,1.2712942361831665,40,-1.0
2006-10-03,5.02,4.56,4.62,99.56255340576172,1.2712942361831665,3.818737,0.945328048,5.27,1.269551157951355,40,-1.0
2006-10-04,5.0,4.5,4.57,100.72720336914062,1.269551157951355,3.818737,0.945328048,5.3,1.260398268699646,30,-1.0
2006-10-05,5.03,4.55,4.61,100.92129516601562,1.260398268699646,3.818737,0.945328048,5.3,1.2531956434249878,30,-1.0
2006-10-09,5.03,4.55,4.61,100.8541030883789,1.2531956434249878,3.818737,0.945328048,5.3,1.2523951530456543,30,-1.0
2006-10-10,5.1,4.71,4.75,100.98853302001953,1.2523951530456543,3.818737,0.945328048,5.3,1.2559974193572998,30,1.0
2006-10-11,5.11,4.75,4.78,100.86909484863281,1.2559974193572998,3.818737,0.945328048,5.23,1.250500202178955,30,-1.0
2006-10-12,5.13,4.74,4.79,101.74256896972656,1.250500202178955,3.818737,0.945328048,5.23,1.2545005083084106,30,1.0
2006-10-16,5.15,4.76,4.79,102.1606216430664,1.2545005083084106,3.818737,0.945328048,5.23,1.2539026737213135,30,-1.0
2006-10-17,5.15,4.73,4.78,101.83958435058594,1.2539026737213135,3.818737,0.945328048,5.23,1.2627060413360596,30,1.0
2006-10-18,5.14,4.74,4.77,101.97398376464844,1.2627060413360596,3.818737,0.945328048,5.23,1.2616068124771118,30,-1.0
2006-10-19,5.16,4.75,4.79,102.13822937011719,1.2616068124771118,3.818737,0.945328048,5.23,1.2559027671813965,30,-1.0
2006-10-23,5.18,4.8,4.83,102.63095092773438,1.2559027671813965,3.818737,0.945328048,5.23,1.2616068124771118,30,1.0
2006-10-24,5.19,4.81,4.83,102.93704986572266,1.2616068124771118,3.818737,0.945328048,5.23,1.2694060802459717,40,1.0
2006-10-25,5.18,4.75,4.78,103.28794860839844,1.2694060802459717,3.818737,0.945328048,5.24,1.2743074893951416,40,1.0
2006-10-26,5.18,4.69,4.73,103.60894775390625,1.2743074893951416,3.818737,0.945328048,5.24,1.271795392036438,40,-1.0
2006-10-30,5.16,4.64,4.68,102.8847885131836,1.271795392036438,3.818737,0.945328048,5.24,1.2766989469528198,40,1.0
2006-10-31,5.13,4.57,4.61,102.86985778808594,1.2766989469528198,3.818737,0.945328048,5.24,1.2754452228546143,40,-1.0
2006-11-01,5.1,4.52,4.57,102.17555236816406,1.2754452228546143,1.973684,0.945328048,5.25,1.2780042886734009,40,1.0
2006-11-02,5.13,4.55,4.6,102.11582946777344,1.2780042886734009,1.973684,0.945328048,5.25,1.2706964015960693,40,-1.0
2006-11-03,5.18,4.7,4.72,101.93667602539062,1.2706964015960693,1.973684,0.945328048,5.25,1.2725560665130615,40,1.0
2006-11-06,5.18,4.69,4.71,103.08634948730469,1.2725560665130615,1.973684,0.945328048,5.25,1.2779062986373901,40,1.0
2006-11-07,5.16,4.63,4.66,103.4820556640625,1.2779062986373901,1.973684,0.945328048,5.25,1.2759984731674194,40,-1.0
2006-11-08,5.16,4.61,4.64,103.7060317993164,1.2759984731674194,1.973684,0.945328048,5.24,1.283252239227295,40,1.0
2006-11-09,5.16,4.6,4.62,103.16100311279297,1.283252239227295,1.973684,0.945328048,5.24,1.2853965759277344,40,1.0
2006-11-10,5.16,4.57,4.59,103.2058334350586,1.2853965759277344,1.973684,0.945328048,5.24,1.2825939655303955,40,-1.0
2006-11-13,5.16,4.6,4.61,103.45968627929688,1.2825939655303955,1.973684,0.945328048,5.24,1.2813942432403564,40,-1.0
2006-11-14,5.15,4.57,4.57,104.23609924316406,1.2813942432403564,1.973684,0.945328048,5.24,1.282495141029358,40,1.0
2006-11-15,5.16,4.62,4.61,104.53472137451172,1.282495141029358,1.973684,0.945328048,5.25,1.2793940305709839,40,-1.0
2006-11-16,5.17,4.67,4.66,104.80347442626953,1.2793940305709839,1.973684,0.945328048,5.25,1.285000205039978,40,1.0
2006-11-17,5.14,4.6,4.61,104.83335876464844,1.285000205039978,1.973684,0.945328048,5.25,1.2818048000335693,40,-1.0
2006-11-20,5.15,4.6,4.6,104.89311981201172,1.2818048000335693,1.973684,0.945328048,5.25,1.2846039533615112,40,1.0
2006-11-21,5.15,4.58,4.58,104.99760437011719,1.2846039533615112,1.973684,0.945328048,5.25,1.2938953638076782,40,1.0
2006-11-22,5.15,4.57,4.57,105.20661926269531,1.2938953638076782,1.973684,0.945328048,5.24,1.295202612876892,40,1.0
2006-11-23,5.15,4.57,4.57,105.20661926269531,1.295202612876892,1.973684,0.945328048,5.24,1.3085066080093384,40,1.0
2006-11-24,5.13,4.55,4.55,104.78108215332031,1.3085066080093384,1.973684,0.945328048,5.24,1.3133012056350708,40,1.0
2006-11-27,5.14,4.54,4.54,103.34022521972656,1.3133012056350708,1.973684,0.945328048,5.24,1.320393443107605,50,1.0
2006-11-28,5.13,4.5,4.51,103.78814697265625,1.320393443107605,1.973684,0.945328048,5.24,1.3148033618927002,40,-1.0
2006-11-29,5.13,4.51,4.52,104.87069702148438,1.3148033618927002,1.973684,0.945328048,5.26,1.325100064277649,50,1.0
2006-11-30,5.1,4.45,4.46,104.91546630859375,1.325100064277649,1.973684,0.945328048,5.26,1.334098219871521,50,1.0
