"Date","Price","Open","High","Low","Change %"
"Jun 07, 2020","1.1256","1.1289","1.1423","1.1212","-0.27%"
"May 31, 2020","1.1286","1.1097","1.1385","1.1095","1.68%"
"May 24, 2020","1.1099","1.0903","1.1146","1.0870","1.81%"
"May 17, 2020","1.0902","1.0816","1.1010","1.0799","0.80%"
"May 10, 2020","1.0816","1.0838","1.0897","1.0775","-0.23%"
"May 03, 2020","1.0841","1.0980","1.0980","1.0766","-1.32%"
"Apr 26, 2020","1.0985","1.0809","1.1019","1.0808","1.52%"
"Apr 19, 2020","1.0821","1.0875","1.0898","1.0726","-0.52%"
"Apr 12, 2020","1.0878","1.0941","1.0991","1.0812","-0.53%"
"Apr 05, 2020","1.0936","1.0813","1.0953","1.0768","1.17%"
"Mar 29, 2020","1.0809","1.1136","1.1145","1.0773","-2.99%"
"Mar 22, 2020","1.1142","1.0696","1.1148","1.0637","4.18%"
"Mar 15, 2020","1.0695","1.1085","1.1237","1.0637","-3.71%"
"Mar 08, 2020","1.1106","1.1292","1.1494","1.1054","-1.59%"
"Mar 01, 2020","1.1286","1.1003","1.1356","1.1003","2.35%"
"Feb 23, 2020","1.1027","1.0841","1.1054","1.0805","1.67%"
"Feb 16, 2020","1.0845","1.0832","1.0864","1.0776","0.12%"
"Feb 09, 2020","1.0832","1.0951","1.0958","1.0827","-1.03%"
"Feb 02, 2020","1.0945","1.1092","1.1096","1.0941","-1.34%"
"Jan 26, 2020","1.1094","1.1021","1.1097","1.0991","0.63%"
"Jan 19, 2020","1.1025","1.1092","1.1119","1.1020","-0.59%"
"Jan 12, 2020","1.1090","1.1125","1.1173","1.1085","-0.29%"
"Jan 05, 2020","1.1122","1.1168","1.1207","1.1085","-0.34%"
"Dec 29, 2019","1.1160","1.1175","1.1240","1.1125","-0.15%"
"Dec 22, 2019","1.1177","1.1081","1.1188","1.1069","0.88%"
"Dec 15, 2019","1.1079","1.1122","1.1176","1.1065","-0.38%"
"Dec 08, 2019","1.1121","1.1055","1.1200","1.1052","0.56%"
"Dec 01, 2019","1.1059","1.1014","1.1116","1.1003","0.38%"
"Nov 24, 2019","1.1017","1.1024","1.1033","1.0980","-0.06%"
"Nov 17, 2019","1.1024","1.1052","1.1098","1.1014","-0.25%"
"Nov 10, 2019","1.1052","1.1022","1.1058","1.0989","0.31%"
"Nov 03, 2019","1.1018","1.1165","1.1176","1.1016","-1.33%"
"Oct 27, 2019","1.1167","1.1082","1.1176","1.1073","0.79%"
"Oct 20, 2019","1.1080","1.1143","1.1180","1.1072","-0.81%"
"Oct 13, 2019","1.1171","1.1044","1.1173","1.0991","1.17%"
"Oct 06, 2019","1.1042","1.0976","1.1063","1.0941","0.58%"
"Sep 29, 2019","1.0978","1.0940","1.1000","1.0878","0.36%"
"Sep 22, 2019","1.0939","1.1016","1.1027","1.0905","-0.72%"
"Sep 15, 2019","1.1018","1.1087","1.1093","1.0990","-0.51%"
"Sep 08, 2019","1.1075","1.1024","1.1110","1.0927","0.42%"
"Sep 01, 2019","1.1029","1.0989","1.1085","1.0926","0.35%"
"Aug 25, 2019","1.0991","1.1145","1.1166","1.0963","-1.38%"
"Aug 18, 2019","1.1144","1.1092","1.1154","1.1051","0.49%"
"Aug 11, 2019","1.1090","1.1204","1.1231","1.1066","-0.98%"
"Aug 04, 2019","1.1200","1.1103","1.1250","1.1103","0.82%"
"Jul 28, 2019","1.1109","1.1127","1.1163","1.1027","-0.16%"
"Jul 21, 2019","1.1127","1.1218","1.1226","1.1101","-0.85%"
"Jul 14, 2019","1.1222","1.1269","1.1285","1.1200","-0.43%"
"Jul 07, 2019","1.1271","1.1223","1.1286","1.1193","0.40%"
"Jun 30, 2019","1.1226","1.1376","1.1376","1.1207","-1.27%"
"Jun 23, 2019","1.1370","1.1361","1.1414","1.1344","0.02%"
"Jun 16, 2019","1.1368","1.1216","1.1379","1.1181","1.42%"
"Jun 09, 2019","1.1209","1.1324","1.1345","1.1202","-1.09%"
"Jun 02, 2019","1.1333","1.1169","1.1349","1.1156","1.47%"
"May 26, 2019","1.1169","1.1196","1.1217","1.1116","-0.31%"
"May 19, 2019","1.1204","1.1159","1.1215","1.1108","0.41%"
"May 12, 2019","1.1158","1.1242","1.1267","1.1155","-0.69%"
"May 05, 2019","1.1235","1.1172","1.1255","1.1160","0.29%"
"Apr 28, 2019","1.1202","1.1154","1.1267","1.1135","0.48%"
"Apr 21, 2019","1.1149","1.1245","1.1264","1.1111","-0.88%"
"Apr 14, 2019","1.1248","1.1300","1.1326","1.1226","-0.48%"
"Apr 07, 2019","1.1302","1.1219","1.1327","1.1214","0.77%"
"Mar 31, 2019","1.1216","1.1218","1.1257","1.1183","-0.02%"
"Mar 24, 2019","1.1218","1.1293","1.1333","1.1208","-0.85%"
"Mar 17, 2019","1.1314","1.1323","1.1449","1.1272","-0.10%"
"Mar 10, 2019","1.1325","1.1239","1.1345","1.1220","0.76%"
"Mar 03, 2019","1.1240","1.1380","1.1398","1.1177","-1.20%"
"Feb 24, 2019","1.1377","1.1340","1.1422","1.1324","0.30%"
"Feb 17, 2019","1.1343","1.1288","1.1375","1.1276","0.42%"
"Feb 10, 2019","1.1295","1.1329","1.1346","1.1233","-0.31%"
"Feb 03, 2019","1.1330","1.1457","1.1467","1.1320","-1.10%"
"Jan 27, 2019","1.1456","1.1406","1.1517","1.1390","0.36%"
"Jan 20, 2019","1.1415","1.1372","1.1421","1.1288","0.46%"
"Jan 13, 2019","1.1363","1.1471","1.1493","1.1352","-0.92%"
"Jan 06, 2019","1.1469","1.1392","1.1572","1.1392","0.65%"
"Dec 30, 2018","1.1395","1.1444","1.1499","1.1309","-0.38%"
"Dec 23, 2018","1.1438","1.1372","1.1478","1.1342","0.61%"
"Dec 16, 2018","1.1369","1.1309","1.1487","1.1299","0.53%"
"Dec 09, 2018","1.1309","1.1402","1.1445","1.1268","-0.61%"
"Dec 02, 2018","1.1378","1.1315","1.1425","1.1311","0.54%"
"Nov 25, 2018","1.1317","1.1343","1.1403","1.1266","-0.21%"
"Nov 18, 2018","1.1341","1.1402","1.1474","1.1325","-0.69%"
"Nov 11, 2018","1.1420","1.1332","1.1423","1.1215","0.74%"
"Nov 04, 2018","1.1336","1.1392","1.1502","1.1315","-0.45%"
"Oct 28, 2018","1.1387","1.1408","1.1458","1.1301","-0.14%"
"Oct 21, 2018","1.1403","1.1507","1.1552","1.1334","-0.97%"
"Oct 14, 2018","1.1515","1.1559","1.1623","1.1433","-0.42%"
"Oct 07, 2018","1.1563","1.1519","1.1611","1.1430","0.34%"
"Sep 30, 2018","1.1524","1.1608","1.1629","1.1463","-0.73%"
"Sep 23, 2018","1.1609","1.1750","1.1816","1.1567","-1.20%"
"Sep 16, 2018","1.1750","1.1624","1.1804","1.1617","1.03%"
"Sep 09, 2018","1.1630","1.1561","1.1724","1.1526","0.67%"
"Sep 02, 2018","1.1553","1.1597","1.1661","1.1529","-0.41%"
"Aug 26, 2018","1.1601","1.1632","1.1735","1.1585","-0.19%"
"Aug 19, 2018","1.1623","1.1442","1.1641","1.1394","1.61%"
"Aug 12, 2018","1.1439","1.1390","1.1447","1.1299","0.25%"
"Aug 05, 2018","1.1411","1.1572","1.1629","1.1384","-1.35%"
"Jul 29, 2018","1.1567","1.1659","1.1745","1.1559","-0.78%"
"Jul 22, 2018","1.1658","1.1729","1.1751","1.1621","-0.53%"
"Jul 15, 2018","1.1720","1.1677","1.1746","1.1574","0.30%"
"Jul 08, 2018","1.1685","1.1746","1.1790","1.1610","-0.53%"
"Jul 01, 2018","1.1747","1.1652","1.1769","1.1591","0.53%"
"Jun 24, 2018","1.1685","1.1659","1.1722","1.1527","0.24%"
"Jun 17, 2018","1.1657","1.1610","1.1677","1.1509","0.41%"
"Jun 10, 2018","1.1609","1.1766","1.1853","1.1543","-1.35%"
"Jun 03, 2018","1.1768","1.1657","1.1842","1.1653","0.92%"
"May 27, 2018","1.1661","1.1650","1.1728","1.1506","0.08%"
"May 20, 2018","1.1652","1.1764","1.1831","1.1645","-1.07%"
"May 13, 2018","1.1778","1.1947","1.1999","1.1749","-1.39%"
"May 06, 2018","1.1944","1.1953","1.1980","1.1823","-0.13%"
"Apr 29, 2018","1.1960","1.2125","1.2141","1.1911","-1.40%"
"Apr 22, 2018","1.2130","1.2289","1.2292","1.2055","-1.29%"
"Apr 15, 2018","1.2288","1.2331","1.2415","1.2250","-0.35%"
"Apr 08, 2018","1.2331","1.2279","1.2397","1.2261","0.39%"
"Apr 01, 2018","1.2283","1.2323","1.2346","1.2214","-0.32%"
"Mar 25, 2018","1.2323","1.2349","1.2477","1.2283","-0.24%"
"Mar 18, 2018","1.2353","1.2284","1.2390","1.2239","0.52%"
"Mar 11, 2018","1.2289","1.2311","1.2414","1.2261","-0.15%"
"Mar 04, 2018","1.2307","1.2324","1.2448","1.2269","-0.08%"
"Feb 25, 2018","1.2317","1.2297","1.2354","1.2153","0.20%"
"Feb 18, 2018","1.2293","1.2409","1.2435","1.2259","-0.91%"
"Feb 11, 2018","1.2406","1.2254","1.2557","1.2235","1.40%"
"Feb 04, 2018","1.2235","1.2457","1.2477","1.2206","-1.82%"
"Jan 28, 2018","1.2462","1.2427","1.2524","1.2334","0.33%"
"Jan 21, 2018","1.2421","1.2268","1.2538","1.2214","1.63%"
"Jan 14, 2018","1.2222","1.2197","1.2324","1.2165","0.29%"
"Jan 07, 2018","1.2187","1.2029","1.2190","1.1916","1.31%"
"Dec 31, 2017","1.2030","1.2003","1.2091","1.1995","0.27%"
"Dec 24, 2017","1.1998","1.1851","1.2030","1.1843","1.17%"
"Dec 17, 2017","1.1859","1.1755","1.1903","1.1738","0.89%"
"Dec 10, 2017","1.1754","1.1769","1.1864","1.1718","-0.08%"
"Dec 03, 2017","1.1764","1.1881","1.1888","1.1728","-1.07%"
"Nov 26, 2017","1.1891","1.1933","1.1962","1.1809","-0.33%"
"Nov 19, 2017","1.1930","1.1789","1.1945","1.1712","1.14%"
"Nov 12, 2017","1.1795","1.1666","1.1862","1.1638","1.11%"
"Nov 05, 2017","1.1665","1.1610","1.1680","1.1554","0.48%"
"Oct 29, 2017","1.1609","1.1603","1.1692","1.1594","-0.01%"
"Oct 22, 2017","1.1610","1.1773","1.1838","1.1575","-1.48%"
"Oct 15, 2017","1.1785","1.1826","1.1860","1.1731","-0.32%"
"Oct 08, 2017","1.1823","1.1728","1.1881","1.1717","0.76%"
"Oct 01, 2017","1.1734","1.1817","1.1817","1.1668","-0.68%"
"Sep 24, 2017","1.1814","1.1953","1.1962","1.1717","-1.17%"
"Sep 17, 2017","1.1954","1.1949","1.2033","1.1862","0.09%"
"Sep 10, 2017","1.1943","1.2041","1.2041","1.1838","-0.76%"
"Sep 03, 2017","1.2035","1.1859","1.2094","1.1854","1.48%"
"Aug 27, 2017","1.1859","1.1926","1.2071","1.1823","-0.56%"
"Aug 20, 2017","1.1926","1.1750","1.1942","1.1731","1.39%"
"Aug 13, 2017","1.1762","1.1806","1.1840","1.1663","-0.50%"
"Aug 06, 2017","1.1821","1.1766","1.1846","1.1687","0.42%"
"Jul 30, 2017","1.1772","1.1739","1.1913","1.1725","0.17%"
"Jul 23, 2017","1.1752","1.1660","1.1778","1.1613","0.76%"
"Jul 16, 2017","1.1663","1.1464","1.1684","1.1435","1.69%"
"Jul 09, 2017","1.1469","1.1392","1.1491","1.1371","0.60%"
"Jul 02, 2017","1.1401","1.1419","1.1440","1.1312","-0.22%"
"Jun 25, 2017","1.1426","1.1202","1.1448","1.1173","2.07%"
"Jun 18, 2017","1.1194","1.1200","1.1215","1.1119","-0.04%"
"Jun 11, 2017","1.1198","1.1194","1.1296","1.1131","0.02%"
"Jun 04, 2017","1.1196","1.1280","1.1286","1.1168","-0.76%"
"May 28, 2017","1.1282","1.1179","1.1287","1.1110","0.89%"
"May 21, 2017","1.1183","1.1201","1.1268","1.1159","-0.21%"
"May 14, 2017","1.1207","1.0927","1.1214","1.0923","2.52%"
"May 07, 2017","1.0931","1.0999","1.1025","1.0841","-0.61%"
"Apr 30, 2017","1.0998","1.0908","1.1002","1.0876","0.93%"
"Apr 23, 2017","1.0897","1.0891","1.0952","1.0821","1.58%"
"Apr 16, 2017","1.0728","1.0614","1.0779","1.0602","1.09%"
"Apr 09, 2017","1.0612","1.0593","1.0679","1.0571","0.21%"
"Apr 02, 2017","1.0590","1.0660","1.0691","1.0580","-0.58%"
"Mar 26, 2017","1.0652","1.0799","1.0907","1.0652","-1.36%"
"Mar 19, 2017","1.0799","1.0740","1.0827","1.0719","0.57%"
"Mar 12, 2017","1.0738","1.0673","1.0784","1.0599","0.62%"
"Mar 05, 2017","1.0672","1.0617","1.0702","1.0526","0.46%"
"Feb 26, 2017","1.0623","1.0563","1.0633","1.0495","0.57%"
"Feb 19, 2017","1.0563","1.0617","1.0636","1.0495","-0.48%"
"Feb 12, 2017","1.0614","1.0635","1.0683","1.0523","-0.25%"
"Feb 05, 2017","1.0641","1.0783","1.0803","1.0609","-1.33%"
"Jan 29, 2017","1.0784","1.0692","1.0831","1.0620","0.79%"
"Jan 22, 2017","1.0699","1.0688","1.0779","1.0660","-0.04%"
"Jan 15, 2017","1.0703","1.0619","1.0722","1.0581","0.55%"
"Jan 08, 2017","1.0644","1.0540","1.0687","1.0455","1.05%"
"Jan 01, 2017","1.0533","1.0532","1.0624","1.0342","0.16%"
"Dec 25, 2016","1.0516","1.0454","1.0654","1.0372","0.57%"
"Dec 18, 2016","1.0456","1.0445","1.0501","1.0353","0.05%"
"Dec 11, 2016","1.0451","1.0554","1.0673","1.0368","-1.05%"
"Dec 04, 2016","1.0562","1.0675","1.0875","1.0506","-1.04%"
"Nov 27, 2016","1.0673","1.0596","1.0692","1.0554","0.81%"
"Nov 20, 2016","1.0587","1.0584","1.0661","1.0518","-0.01%"
"Nov 13, 2016","1.0588","1.0850","1.0852","1.0570","-2.47%"
"Nov 06, 2016","1.0856","1.1140","1.1305","1.0833","-2.53%"
"Oct 30, 2016","1.1138","1.0987","1.1146","1.0937","1.37%"
"Oct 23, 2016","1.0987","1.0880","1.0995","1.0852","0.95%"
"Oct 16, 2016","1.0884","1.0974","1.1041","1.0859","-0.79%"
"Oct 09, 2016","1.0971","1.1197","1.1203","1.0968","-2.05%"
"Oct 02, 2016","1.1201","1.1235","1.1245","1.1103","-0.36%"
"Sep 25, 2016","1.1241","1.1224","1.1281","1.1153","0.13%"
"Sep 18, 2016","1.1226","1.1164","1.1261","1.1123","0.64%"
"Sep 11, 2016","1.1155","1.1232","1.1285","1.1147","-0.69%"
"Sep 04, 2016","1.1233","1.1153","1.1329","1.1140","0.69%"
"Aug 28, 2016","1.1156","1.1194","1.1254","1.1124","-0.38%"
"Aug 21, 2016","1.1198","1.1305","1.1357","1.1180","-1.13%"
"Aug 14, 2016","1.1326","1.1162","1.1366","1.1153","1.48%"
"Aug 07, 2016","1.1161","1.1088","1.1224","1.1070","0.69%"
"Jul 31, 2016","1.1085","1.1174","1.1234","1.1043","-0.80%"
"Jul 24, 2016","1.1174","1.0972","1.1200","1.0954","1.80%"
"Jul 17, 2016","1.0976","1.1042","1.1087","1.0954","-0.54%"
"Jul 10, 2016","1.1036","1.1052","1.1166","1.1016","-0.17%"
"Jul 03, 2016","1.1055","1.1142","1.1185","1.1001","-0.73%"
"Jun 26, 2016","1.1136","1.1069","1.1169","1.0969","0.17%"
"Jun 19, 2016","1.1117","1.1283","1.1434","1.0911","-1.42%"
"Jun 12, 2016","1.1277","1.1254","1.1305","1.1132","0.23%"
"Jun 05, 2016","1.1251","1.1351","1.1417","1.1245","-1.02%"
"May 29, 2016","1.1367","1.1116","1.1377","1.1098","2.27%"
"May 22, 2016","1.1115","1.1216","1.1244","1.1107","-0.97%"
"May 15, 2016","1.1224","1.1309","1.1349","1.1180","-0.74%"
"May 08, 2016","1.1308","1.1402","1.1449","1.1284","-0.85%"
"May 01, 2016","1.1405","1.1447","1.1617","1.1387","-0.45%"
"Apr 24, 2016","1.1456","1.1230","1.1461","1.1215","1.98%"
"Apr 17, 2016","1.1234","1.1299","1.1398","1.1220","-0.43%"
"Apr 10, 2016","1.1283","1.1408","1.1467","1.1235","-1.04%"
"Apr 03, 2016","1.1401","1.1394","1.1456","1.1327","0.12%"
"Mar 27, 2016","1.1387","1.1162","1.1439","1.1153","1.98%"
"Mar 20, 2016","1.1166","1.1271","1.1287","1.1145","-0.92%"
"Mar 13, 2016","1.1270","1.1152","1.1345","1.1058","1.05%"
"Mar 06, 2016","1.1153","1.1009","1.1220","1.0823","1.35%"
"Feb 28, 2016","1.1004","1.0933","1.1045","1.0826","0.64%"
"Feb 21, 2016","1.0934","1.1128","1.1137","1.0913","-1.81%"
"Feb 14, 2016","1.1135","1.1252","1.1254","1.1066","-1.11%"
"Feb 07, 2016","1.1260","1.1159","1.1378","1.1086","0.91%"
"Jan 31, 2016","1.1159","1.0834","1.1246","1.0815","2.97%"
"Jan 24, 2016","1.0837","1.0799","1.0970","1.0789","0.37%"
"Jan 17, 2016","1.0797","1.0919","1.0978","1.0780","-1.10%"
"Jan 10, 2016","1.0917","1.0925","1.0987","1.0806","-0.14%"
"Jan 03, 2016","1.0932","1.0858","1.0949","1.0712","0.66%"
"Dec 27, 2015","1.0860","1.0964","1.0994","1.0845","-1.07%"
"Dec 20, 2015","1.0977","1.0865","1.0988","1.0850","1.00%"
"Dec 13, 2015","1.0868","1.0986","1.1062","1.0802","-1.11%"
"Dec 06, 2015","1.0990","1.0860","1.1043","1.0796","0.96%"
"Nov 29, 2015","1.0886","1.0592","1.0982","1.0540","2.77%"
"Nov 22, 2015","1.0593","1.0648","1.0692","1.0568","-0.50%"
"Nov 15, 2015","1.0646","1.0752","1.0781","1.0618","-1.23%"
"Nov 08, 2015","1.0779","1.0737","1.0831","1.0675","0.35%"
"Nov 01, 2015","1.0741","1.1016","1.1054","1.0709","-2.40%"
"Oct 25, 2015","1.1005","1.1007","1.1096","1.0895","-0.12%"
"Oct 18, 2015","1.1018","1.1353","1.1389","1.0997","-2.89%"
"Oct 11, 2015","1.1346","1.1355","1.1496","1.1334","-0.11%"
"Oct 04, 2015","1.1358","1.1223","1.1391","1.1174","1.31%"
"Sep 27, 2015","1.1211","1.1195","1.1319","1.1135","0.14%"
"Sep 20, 2015","1.1195","1.1281","1.1329","1.1103","-0.97%"
"Sep 13, 2015","1.1305","1.1336","1.1460","1.1213","-0.31%"
"Sep 06, 2015","1.1340","1.1158","1.1349","1.1120","1.73%"
"Aug 30, 2015","1.1147","1.1174","1.1332","1.1087","-0.29%"
"Aug 23, 2015","1.1179","1.1361","1.1711","1.1156","-1.84%"
"Aug 16, 2015","1.1389","1.1107","1.1394","1.1018","2.55%"
"Aug 09, 2015","1.1106","1.0966","1.1213","1.0924","1.25%"
"Aug 02, 2015","1.0969","1.0972","1.0998","1.0851","-0.17%"
"Jul 26, 2015","1.0988","1.0972","1.1129","1.0893","0.04%"
"Jul 19, 2015","1.0984","1.0833","1.1020","1.0810","1.42%"
"Jul 12, 2015","1.0830","1.1106","1.1198","1.0828","-2.99%"
"Jul 05, 2015","1.1164","1.0994","1.1218","1.0917","0.45%"
"Jun 28, 2015","1.1114","1.1032","1.1280","1.0955","-0.47%"
"Jun 21, 2015","1.1166","1.1364","1.1412","1.1131","-1.65%"
"Jun 14, 2015","1.1353","1.1226","1.1437","1.1189","0.75%"
"Jun 07, 2015","1.1269","1.1114","1.1385","1.1081","1.40%"
"May 31, 2015","1.1113","1.0988","1.1381","1.0888","1.14%"
"May 24, 2015","1.0988","1.1004","1.1010","1.0819","-0.27%"
"May 17, 2015","1.1018","1.1442","1.1451","1.1003","-3.80%"
"May 10, 2015","1.1453","1.1198","1.1467","1.1132","2.22%"
"May 03, 2015","1.1204","1.1201","1.1393","1.1066","0.03%"
"Apr 26, 2015","1.1201","1.0872","1.1291","1.0819","3.01%"
"Apr 19, 2015","1.0874","1.0822","1.0901","1.0660","0.62%"
"Apr 12, 2015","1.0807","1.0602","1.0850","1.0521","1.91%"
"Apr 05, 2015","1.0604","1.0990","1.1037","1.0569","-3.41%"
"Mar 29, 2015","1.0978","1.0889","1.1028","1.0714","0.82%"
"Mar 22, 2015","1.0889","1.0837","1.1053","1.0768","0.62%"
"Mar 15, 2015","1.0822","1.0494","1.1033","1.0458","3.12%"
"Mar 08, 2015","1.0495","1.0832","1.0908","1.0462","-3.22%"
"Mar 01, 2015","1.0844","1.1187","1.1241","1.0841","-3.14%"
"Feb 22, 2015","1.1196","1.1384","1.1415","1.1178","-1.63%"
"Feb 15, 2015","1.1381","1.1386","1.1453","1.1280","-0.04%"
"Feb 08, 2015","1.1385","1.1317","1.1443","1.1272","0.61%"
"Feb 01, 2015","1.1316","1.1284","1.1535","1.1280","0.25%"
"Jan 25, 2015","1.1288","1.1186","1.1424","1.1100","0.71%"
"Jan 18, 2015","1.1208","1.1550","1.1675","1.1114","-3.12%"
"Jan 11, 2015","1.1569","1.1840","1.1872","1.1462","-2.31%"
"Jan 04, 2015","1.1842","1.2004","1.2008","1.1756","-1.34%"
"Dec 28, 2014","1.2003","1.2184","1.2223","1.2002","-1.42%"
"Dec 21, 2014","1.2176","1.2227","1.2273","1.2166","-0.43%"
"Dec 14, 2014","1.2228","1.2464","1.2571","1.2222","-1.88%"
"Dec 07, 2014","1.2462","1.2279","1.2496","1.2247","1.43%"
"Nov 30, 2014","1.2286","1.2455","1.2507","1.2271","-1.33%"
"Nov 23, 2014","1.2452","1.2378","1.2533","1.2359","0.50%"
"Nov 16, 2014","1.2390","1.2528","1.2602","1.2375","-1.07%"
"Nov 09, 2014","1.2524","1.2453","1.2549","1.2395","0.56%"
"Nov 02, 2014","1.2454","1.2517","1.2579","1.2360","-0.57%"
"Oct 26, 2014","1.2525","1.2682","1.2771","1.2485","-1.14%"
"Oct 19, 2014","1.2670","1.2757","1.2839","1.2612","-0.73%"
"Oct 12, 2014","1.2763","1.2637","1.2887","1.2620","1.07%"
"Oct 05, 2014","1.2628","1.2508","1.2792","1.2503","0.89%"
"Sep 28, 2014","1.2517","1.2685","1.2716","1.2500","-1.32%"
"Sep 21, 2014","1.2685","1.2828","1.2902","1.2677","-1.12%"
"Sep 14, 2014","1.2829","1.2976","1.2995","1.2827","-1.05%"
"Sep 07, 2014","1.2965","1.2943","1.2980","1.2859","0.12%"
"Aug 31, 2014","1.2950","1.3138","1.3161","1.2919","-1.39%"
"Aug 24, 2014","1.3133","1.3218","1.3220","1.3131","-0.83%"
"Aug 17, 2014","1.3243","1.3394","1.3401","1.3220","-1.16%"
"Aug 10, 2014","1.3399","1.3401","1.3416","1.3336","-0.09%"
"Aug 03, 2014","1.3411","1.3427","1.3434","1.3332","-0.14%"
"Jul 27, 2014","1.3430","1.3432","1.3445","1.3367","-0.01%"
"Jul 20, 2014","1.3432","1.3529","1.3552","1.3422","-0.69%"
"Jul 13, 2014","1.3525","1.3601","1.3639","1.3491","-0.62%"
"Jul 06, 2014","1.3609","1.3596","1.3651","1.3575","0.10%"
"Jun 29, 2014","1.3596","1.3647","1.3702","1.3586","-0.39%"
"Jun 22, 2014","1.3649","1.3595","1.3653","1.3574","0.37%"
"Jun 15, 2014","1.3599","1.3535","1.3643","1.3512","0.42%"
"Jun 08, 2014","1.3542","1.3643","1.3668","1.3510","-0.74%"
"Jun 01, 2014","1.3643","1.3634","1.3678","1.3504","0.09%"
"May 25, 2014","1.3631","1.3626","1.3669","1.3585","-0.02%"
"May 18, 2014","1.3634","1.3702","1.3735","1.3615","-0.45%"
"May 11, 2014","1.3695","1.3752","1.3777","1.3649","-0.47%"
"May 04, 2014","1.3760","1.3873","1.3995","1.3746","-0.79%"
"Apr 27, 2014","1.3870","1.3834","1.3889","1.3775","0.27%"
"Apr 20, 2014","1.3833","1.3810","1.3856","1.3785","0.13%"
"Apr 13, 2014","1.3815","1.3838","1.3867","1.3790","-0.50%"
"Apr 06, 2014","1.3885","1.3697","1.3907","1.3690","1.33%"
"Mar 30, 2014","1.3703","1.3755","1.3820","1.3672","-0.36%"
"Mar 23, 2014","1.3753","1.3792","1.3876","1.3705","-0.30%"
"Mar 16, 2014","1.3794","1.3912","1.3950","1.3750","-0.86%"
"Mar 09, 2014","1.3914","1.3874","1.3967","1.3832","0.26%"
"Mar 02, 2014","1.3878","1.3787","1.3917","1.3708","0.54%"
"Feb 23, 2014","1.3803","1.3735","1.3824","1.3641","0.46%"
"Feb 16, 2014","1.3740","1.3689","1.3776","1.3688","0.34%"
"Feb 09, 2014","1.3693","1.3634","1.3718","1.3563","0.43%"
"Feb 02, 2014","1.3635","1.3494","1.3642","1.3477","1.10%"
"Jan 26, 2014","1.3487","1.3677","1.3718","1.3480","-1.40%"
"Jan 19, 2014","1.3678","1.3544","1.3741","1.3509","1.01%"
