"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.858302645,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.574584595,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.529142561,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.324498367,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.523404599,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.34365533,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.354780367,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.897372235,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.644746034,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.644136881,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.745693246,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.835370697,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.620909566,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.532249763,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.236553676,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.267316828,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.604385107,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.40780318,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.432442921,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.160084163,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.883980351,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.440451141,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.261293284,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.9,
"USA","QGDP","TOT","PC_CHGPP","Q","1995-Q3",0.850677535,
"USA","QGDP","TOT","PC_CHGPP","Q","1995-Q4",0.679021028,
"USA","QGDP","TOT","PC_CHGPP","Q","1996-Q1",0.74894682,
"USA","QGDP","TOT","PC_CHGPP","Q","1996-Q2",1.667847426,
"USA","QGDP","TOT","PC_CHGPP","Q","1996-Q3",0.896991377,
"USA","QGDP","TOT","PC_CHGPP","Q","1996-Q4",1.038381988,
"USA","QGDP","TOT","PC_CHGPP","Q","1997-Q1",0.645564365,
"USA","QGDP","TOT","PC_CHGPP","Q","1997-Q2",1.662001454,
"USA","QGDP","TOT","PC_CHGPP","Q","1997-Q3",1.250848033,
"USA","QGDP","TOT","PC_CHGPP","Q","1997-Q4",0.858816513,
"USA","QGDP","TOT","PC_CHGPP","Q","1998-Q1",0.999479915,
"USA","QGDP","TOT","PC_CHGPP","Q","1998-Q2",0.925807138,
"USA","QGDP","TOT","PC_CHGPP","Q","1998-Q3",1.252567402,
"USA","QGDP","TOT","PC_CHGPP","Q","1998-Q4",1.615880229,
"USA","QGDP","TOT","PC_CHGPP","Q","1999-Q1",0.946471881,
"USA","QGDP","TOT","PC_CHGPP","Q","1999-Q2",0.769158642,
"USA","QGDP","TOT","PC_CHGPP","Q","1999-Q3",1.309664834,
"USA","QGDP","TOT","PC_CHGPP","Q","1999-Q4",1.699585031,
"USA","QGDP","TOT","PC_CHGPP","Q","2000-Q1",0.361760152,
"USA","QGDP","TOT","PC_CHGPP","Q","2000-Q2",1.831164672,
"USA","QGDP","TOT","PC_CHGPP","Q","2000-Q3",0.133555285,
"USA","QGDP","TOT","PC_CHGPP","Q","2000-Q4",0.622889589,
"USA","QGDP","TOT","PC_CHGPP","Q","2001-Q1",-0.285177655,
"USA","QGDP","TOT","PC_CHGPP","Q","2001-Q2",0.58455579,
"USA","QGDP","TOT","PC_CHGPP","Q","2001-Q3",-0.415038093,
"USA","QGDP","TOT","PC_CHGPP","Q","2001-Q4",0.272371373,
"USA","QGDP","TOT","PC_CHGPP","Q","2002-Q1",0.874514216,
"USA","QGDP","TOT","PC_CHGPP","Q","2002-Q2",0.605732536,
"USA","QGDP","TOT","PC_CHGPP","Q","2002-Q3",0.444571333,
"USA","QGDP","TOT","PC_CHGPP","Q","2002-Q4",0.154822636,
"USA","QGDP","TOT","PC_CHGPP","Q","2003-Q1",0.554766741,
"USA","QGDP","TOT","PC_CHGPP","Q","2003-Q2",0.860259818,
"USA","QGDP","TOT","PC_CHGPP","Q","2003-Q3",1.69820943,
"USA","QGDP","TOT","PC_CHGPP","Q","2003-Q4",1.148167049,
"USA","QGDP","TOT","PC_CHGPP","Q","2004-Q1",0.533747312,
"USA","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.762076364,
"USA","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.945328048,
"USA","QGDP","TOT","PC_CHGPP","Q","2004-Q4",1.001674112,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q1",1.106963536,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.461561312,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.891333848,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.631463125,
"USA","QGDP","TOT","PC_CHGPP","Q","2006-Q1",1.330287125,
"USA","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.23369974,
"USA","QGDP","TOT","PC_CHGPP","Q","2006-Q3",0.154632792,
"USA","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.85186523,
"USA","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.235493107,
"USA","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.5728724,
"USA","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.543271327,
"USA","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.607841913,
"USA","QGDP","TOT","PC_CHGPP","Q","2008-Q1",-0.574699846,
"USA","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.516387099,
"USA","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-0.541355591,
"USA","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-2.163811244,
"USA","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-1.122695047,
"USA","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-0.143989749,
"USA","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.364111101,
"USA","QGDP","TOT","PC_CHGPP","Q","2009-Q4",1.098384104,
"USA","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.38477974,
"USA","QGDP","TOT","PC_CHGPP","Q","2010-Q2",0.922028304,
"USA","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.737211274,
"USA","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.501902537,
"USA","QGDP","TOT","PC_CHGPP","Q","2011-Q1",-0.240441252,
"USA","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.714973327,
"USA","QGDP","TOT","PC_CHGPP","Q","2011-Q3",-0.027778662,
"USA","QGDP","TOT","PC_CHGPP","Q","2011-Q4",1.159284987,
"USA","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.782992766,
"USA","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.430201511,
"USA","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.134948209,
"USA","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.113873246,
"USA","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.885675089,
"USA","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.123396475,
"USA","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.783415167,
"USA","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.798248938,
"USA","QGDP","TOT","PC_CHGPP","Q","2014-Q1",-0.282705187,
"USA","QGDP","TOT","PC_CHGPP","Q","2014-Q2",1.353681332,
"USA","QGDP","TOT","PC_CHGPP","Q","2014-Q3",1.220932252,
"USA","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.562793738,
"USA","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.949154986,
"USA","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.676613186,
"USA","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.362604385,
"USA","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.160362383,
"USA","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.566413434,
"USA","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.311918336,
"USA","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.544396054,
"USA","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.629298347,
"USA","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.565668983,
"USA","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.426944003,
"USA","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.728833616,
"USA","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.955677327,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.93167915,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.668628011,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.525195607,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.328321429,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.72512256,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.370716167,
